household_ID,cluster,consumption,mean,std
ID1346,1.0,206.84,153.4128821343718,123.00418083421654
ID1350,0.0,264.6,131.173002724289,98.9601521767689
ID1354,2.0,224.12,92.95002341552134,68.66288330097842
ID1362,1.0,211.4,153.4128821343718,123.00418083421654
ID1377,1.0,329.88,153.4128821343718,123.00418083421654
ID1378,1.0,207.8,153.4128821343718,123.00418083421654
ID1381,0.0,167.96,131.173002724289,98.9601521767689
ID1384,2.0,153.6,92.95002341552134,68.66288330097842
ID1385,2.0,130.12,92.95002341552134,68.66288330097842
ID1399,0.0,195.92,131.173002724289,98.9601521767689
ID1400,1.0,508.68,153.4128821343718,123.00418083421654
ID1407,2.0,166.96,92.95002341552134,68.66288330097842
ID1415,0.0,225.88,131.173002724289,98.9601521767689
ID1420,3.0,199.96,113.57842232275969,77.6044360447549
ID1425,2.0,116.12,92.95002341552134,68.66288330097842
ID1443,1.0,219.96,153.4128821343718,123.00418083421654
ID1445,0.0,171.12,131.173002724289,98.9601521767689
ID1455,3.0,184.12,113.57842232275969,77.6044360447549
ID1458,1.0,355.08,153.4128821343718,123.00418083421654
ID1465,2.0,114.68,92.95002341552134,68.66288330097842
ID1466,0.0,178.36,131.173002724289,98.9601521767689
ID1470,2.0,127.4,92.95002341552134,68.66288330097842
ID1480,2.0,140.8,92.95002341552134,68.66288330097842
ID1481,1.0,201.52,153.4128821343718,123.00418083421654
ID1484,4.0,524.0,222.24722808458992,139.78949632344612
ID1488,2.0,145.84,92.95002341552134,68.66288330097842
ID1491,0.0,186.72,131.173002724289,98.9601521767689
ID1496,4.0,290.4,222.24722808458992,139.78949632344612
ID1499,2.0,178.92,92.95002341552134,68.66288330097842
ID1510,2.0,162.4,92.95002341552134,68.66288330097842
ID1521,1.0,897.625,153.4128821343718,123.00418083421654
ID1525,2.0,172.08,92.95002341552134,68.66288330097842
ID1538,2.0,118.96,92.95002341552134,68.66288330097842
ID1545,2.0,133.76,92.95002341552134,68.66288330097842
ID1546,2.0,124.64,92.95002341552134,68.66288330097842
ID1551,2.0,132.04,92.95002341552134,68.66288330097842
ID1562,2.0,155.12,92.95002341552134,68.66288330097842
ID1564,3.0,214.89473684210526,113.57842232275969,77.6044360447549
ID1565,0.0,254.2,131.173002724289,98.9601521767689
ID1574,2.0,147.5,92.95002341552134,68.66288330097842
ID1578,1.0,317.12,153.4128821343718,123.00418083421654
ID1579,2.0,118.6,92.95002341552134,68.66288330097842
ID1583,1.0,200.75,153.4128821343718,123.00418083421654
ID1592,2.0,148.12,92.95002341552134,68.66288330097842
ID1599,2.0,123.0,92.95002341552134,68.66288330097842
ID1600,3.0,259.4,113.57842232275969,77.6044360447549
ID1603,0.0,269.04,131.173002724289,98.9601521767689
ID1604,2.0,227.92,92.95002341552134,68.66288330097842
ID1605,1.0,215.4,153.4128821343718,123.00418083421654
ID1606,0.0,174.72,131.173002724289,98.9601521767689
ID1611,0.0,192.2,131.173002724289,98.9601521767689
