Cluster,,household_ID,Cluster,label
0,2414,ID2415,0,normal
0,2420,ID2421,0,normal
0,2423,ID2424,0,normal
0,2428,ID2429,0,normal
0,2434,ID2435,0,normal
0,2459,ID2460,0,normal
0,2460,ID2461,0,normal
0,2462,ID2463,0,normal
0,2463,ID2464,0,normal
0,2477,ID2478,0,low
0,2481,ID2482,0,normal
0,2484,ID2485,0,normal
0,2488,ID2489,0,normal
0,2491,ID2492,0,normal
0,2495,ID2496,0,normal
0,2505,ID2506,0,normal
0,2510,ID2511,0,normal
0,2526,ID2527,0,normal
0,2527,ID2528,0,high
0,2528,ID2529,0,normal
0,2529,ID2530,0,normal
0,2540,ID2541,0,normal
0,2543,ID2544,0,normal
0,2547,ID2548,0,normal
0,2549,ID2550,0,normal
0,2554,ID2555,0,normal
0,2564,ID2565,0,normal
0,2570,ID2571,0,normal
0,2573,ID2574,0,normal
0,2576,ID2577,0,high
0,2578,ID2579,0,normal
0,2588,ID2589,0,normal
0,2594,ID2595,0,normal
0,2600,ID2601,0,normal
0,2602,ID2603,0,normal
0,2609,ID2610,0,high
0,2610,ID2611,0,normal
0,2615,ID2616,0,high
0,2618,ID2619,0,normal
0,2632,ID2633,0,normal
0,2634,ID2635,0,normal
0,2641,ID2642,0,normal
0,2643,ID2644,0,low
0,2647,ID2648,0,normal
0,2650,ID2651,0,normal
0,2657,ID2658,0,normal
0,2666,ID2667,0,normal
0,2667,ID2668,0,normal
0,2673,ID2674,0,normal
0,2677,ID2678,0,normal
0,2687,ID2688,0,normal
0,2691,ID2692,0,normal
0,2692,ID2693,0,normal
0,2697,ID2698,0,normal
0,2729,ID2730,0,normal
0,2741,ID2742,0,normal
0,2743,ID2744,0,normal
0,2744,ID2745,0,normal
0,2746,ID2747,0,normal
0,2754,ID2755,0,normal
0,2759,ID2760,0,normal
0,2765,ID2766,0,normal
0,2771,ID2772,0,normal
0,2772,ID2773,0,normal
0,2785,ID2786,0,normal
0,2798,ID2799,0,normal
0,2802,ID2803,0,normal
0,2805,ID2806,0,normal
0,2823,ID2824,0,normal
0,2824,ID2825,0,normal
0,2825,ID2826,0,normal
0,2842,ID2843,0,normal
0,2848,ID2849,0,normal
0,2856,ID2857,0,normal
0,2865,ID2866,0,normal
0,2869,ID2870,0,normal
0,2870,ID2871,0,low
0,2875,ID2876,0,normal
0,2881,ID2882,0,normal
0,2887,ID2888,0,normal
0,2892,ID2893,0,normal
0,2898,ID2899,0,low
